财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
日本银行贷款(含信托)年率,http://www.kxt.com/data/jnblbyoy+index.html,日本央行,每季度一次,"数据>预期=利好日元
",借贷和支出正相关，消费者和企业对未来金融状况充满信心时倾向寻求信贷，并乐于支出,统计银行贷款金额的年度变化数据,如果该指标比预期更高，则应认为日元强势/看涨，而如果该指标比预期更低，则应认为日元弱势/看跌。,利多
日本季调后经常帐,http://www.kxt.com/data/jnbpaba+index.html,欧盟统计局(Eurostat),月报，每月中旬公布上上月数据,"公布值>预期值=利好欧元
","欧盟统计局(Eurostat) 生产者物价指数(Producer Price Index , PPI)指一衡量产业生产成本的指针，该指针包含制造业、中间财、能源商品、资本财、耐久性及非耐久性消费财等，用以代表厂商之间的交易价格。",制造商出售完成的商品及服务的价格变动,该数据一般仅产生潜在影响，因占欧元区整体经济约一半的德国和法国在此前已公布了同类数据。,利多
日本贸易帐,http://www.kxt.com/data/jnbptrd+index.html, Ministry of Finance,每月,"公布值>预测值=利好日元
",日本财务省 商品贸易帐，是指一个国家在一定时期内商品出口贸易总额与进口贸易总额相比的差额。出口额大于进口额叫做“顺差”，或“盈余”或“出超”；反之，则叫“逆差”或“赤字”或“入超”。,统计商品与服务进出口差值，公布未季调数据,日本属于出口型经济，如果出现贸易逆差现象，预示经济转弱。政府若要改善这种状况。因此，当该国贸易赤字扩大时，就会利淡日元，令日元汇率下跌；反之，当出现贸易盈余时，则是利好日元。,利多
日本公司的利润,http://www.kxt.com/data/jncrpyoy+index.html,日本统计局,季报,"公布值>预测值=利好日元
",日本国内公司利润的月度变化,统计日本国内公司利润的月度变化情况,直接反映日本的经济景气程度，预示货币政策方向,利多
日本便利店销售同比增长,http://www.kxt.com/data/jncvssy+index.html,日本统计局,每月,"公布值>预测值=利好日元
",便利店销售同比增长的数据,统计便利店销售同比增长的变化情况,属于社会零售销售数据的一部分，预示通胀水平和经济增长,利多
日本全国部销售同比增长,http://www.kxt.com/data/jndsnyoy+index.html,日本统计局,每月,"公布值>预测值=利好日元
",全国部销售同比增长的数据,统计全国部销售同比增长的变化情况,属于社会零售销售数据的一部分，预示通胀水平和经济增长,利多
日本东京部店销售同比增长,http://www.kxt.com/data/jndstyoy+index.html,日本统计局,每月,"公布值>预测值=利好日元
",东京部店销售同比增长情况,统计东京部店销售同比增长的数据,属于社会零售销售数据的一部分，预示通胀水平和经济增长,利多
日本真正的现金收入同比增长,http://www.kxt.com/data/jnlsucre+index.html,日本统计局,每月,"公布值>预测值=利好日元
",真正的现金收入的同比增长情况,统计真正的现金收入的同比增长情况,收入增速直接影响消费预期和通胀预期，间接影响对经济增速的预判,利多
日本期间货币底端,http://www.kxt.com/data/jnmbmobe+index.html,日本央行,每月,"公布值>预期值=利好日元
","基础货币，也称货币基数(Monetary Base)、强力货币、始初货币，因其具有使货币供应总量成倍放大或收缩的能力，又被称为高能货币(High-powered Money)。根据国际货币基金组织的定义,基础货币包括中央银行为广义货币和信贷扩张提供支持的各种负债，主要指银行持有的货币(库存现金)和银行外的货币(流通中的现金)，以及银行与非银行在货币当局的存款。",日本央行根据全国的存款利率统计。,该指标与利率有正相关关系——若处在经济周期的早期阶段，货币供应的增加会引发额外的支出和投资；若处在经济周期的晚期阶段，货币供应的扩张将引发通胀。,利多
日本机床订单年率终值,http://www.kxt.com/data/jnmtoy+indexf.html,日本统计局,月报,"公布值>预测值=利好日元
",日本机床订单数量和金额的年度变化,统计日本机床订单数量和金额的年度变化数据,耐用品订单数据的一部分，反映社会经济运行态势和未来增长动力,利多
日本机床订单年率初值,http://www.kxt.com/data/jnmtoy+indexp.html,日本统计局,月报,"公布值>预测值=利好日元
",日本机床订单数量和金额的年度变化,统计日本机床订单数量和金额的年度变化数据,耐用品订单数据的一部分，反映社会经济运行态势和未来增长动力,利多
日本公司销售,http://www.kxt.com/data/jnsasyoy+index.html,日本统计局,季报,"公布值>预测值=利好日元
",公司销售额的月度变化,统计公司销售额的月度变化数据,预示通胀水平的变化，一定程度上预示货币政策方向,利多
日本超市销售同比增长,http://www.kxt.com/data/jnsmtyoy+index.html,日本统计局,每月,"公布值>预测值=利好日元
",超市销售额的月变化,统计超市销售额的月度变化数据，对比同期增长,属于社会零售销售数据的一部分，预示通胀水平和经济增长,利多
日本日本贸易平衡调整,http://www.kxt.com/data/jntbala+index.html,日本海关,每月更新,"具体说来，在国际收支诸项目中对汇率变动影响最大的除了上面的贸易项目外，还有资本项目。贸易收支的顺差或逆差直接影响着货币汇率的上升或下降。例如，美元汇率下跌的一个重要原因，就是美国的贸易逆差愈益严重。
",如果一个国家经常出现贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。政府若要改善这种状况，就必须要把国家的货币贬值，因为币值下降，即变相把出口商品价格降低，可以提高出口产品的竞争能力。,由海关总署统计每月发生的进出口贸易数据。,一般来说，一国政府在对外贸易中应设法保持进出口基本平衡，略有结余，此举有利于国民经济健康发展。从而通过该数据直接影响该国经济和货币的走势。,利多
日本汽车生产年率,http://www.kxt.com/data/jnvhpyoy+index.html,日本统计局,每月,"公布值>预测值=利好日元
",汽车生产的年度变化,统计汽车生产的年度变化数据,反映制造业的运行态势，预示未来的经济增长,利多
日本汽车销售年率,http://www.kxt.com/data/jnvhsyoy+index.html,日本统计局,每月,"公布值>预测值=利好日元
",汽车销售的年度变化,统计汽车销售的年度变化数据,反映消费者的购买能力，预示通胀和经济增长的变化,利多
日本资本支出前软件,http://www.kxt.com/data/jnvniyoy+index.html,日本央行,季报，每季第一个月月初公布上季数据，第四季度数据在12月中旬公布,"若数据上升或好于预期，对日元是利好，反之若数据下降，则代表日本企业对经济前景悲观或盈利不佳，利空日元。
",日本央行每季会对近一万家企业作未来产业趋势调查，调查企业对短期经济前景的信心，以及对现时与未来经济状况与公司盈利前景的看法。负数结果表示对经济前景感到悲观的公司多于感到乐观的公司，而正数则表示对经济前景感到乐观的公司多于感到悲观的公司。,调查企业对短期经济前景的信心，以及对现时与未来经济状况与公司盈利前景的看法。负数结果表示对经济前景感到悲观的公司多于感到乐观的公司，而正数则表示对经济前景感到乐观的公司多于感到悲观的公司。,根据历史显示，日本政府每季公布的企业短观报告数据极具代表性，能准确的预测日本未来的经济走势，因此与股市波动有相当的连动性。,利多
日本加班工资年率,http://www.kxt.com/data/jpovrt%3deci.html, Bank Of Japan, 每月,"公布值>预测值=利好日元
","厚生劳动省(Ministry of Health, Labour and Welfare) 统计劳动者的收入变化","统计每月加班工资年率,用来了解劳动者的收入状况",与支出有关——消费者可支配收入越多，他们就越有可能增加支出。因此，根据收入数据的变化，可以判断出未来经济走向，进而影响短线汇率走势。,利多
日本同步指标月率初值,http://www.kxt.com/data/jpciin%3deci.html," Cabinet Office, Government of Japan", 每月,"公布值>预测值=利好日元
",日本内阁府(Cabinet Office) 领先指标(leading indicators) 宏观经济波动的敏感性指标的一类。也叫领先指标或先行指标，是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,"统计每月同步指标月率初值,预测未来经济发展情况",宏观经济波动分为繁荣、衰退、萧条、复苏四个阶段，它的变化是有一定规律性的，而且必然会通过一定的经济指标的变化反映出来。这些指标称为敏感性指标，通常按周期循环的时间性区分为三类，即领先指标、一致同步指标与滞后指标。,利多
日本实际GDP年化季率初值,http://www.kxt.com/data/jgdpagdp+indexp.html,日本内阁府,每季度公布一次，在当季结束后的第45天左右公布,"公布值>预测值=利好日元
",国内生产总值（GDP）是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
日本实际GDP季率初值,http://www.kxt.com/data/jgdpqgdp+indexp.html,日本内阁府,季报,"公布值>预测值=利好日元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。共公布两次，一次为初值，一次为修正值。",统计期内日本经济变化，公布季率和年率数据,GDP是衡量一国经济状况的最重要指标，央行将据此制定货币政策，投资者根据GDP数据对货币政策作出预测，进而影响日元短线走势。,利多
日本全国CPI年率,http://www.kxt.com/data/jncpiyoy+index.html,Statistics Bureau,每月,"公布值>预测值=利好日元
",核心CPI（Core CPI），是指将受气候和季节因素影响较大的产品价格剔除之后的居民消费物价指数。,"统计每月全国CPI年率,CPI继续温和上升，表明经济复苏步伐缓慢抑制通货膨胀。",该数据通常会影响金融市场走势，而且其时效性及通胀意涵也广泛受到市场追踪。核心CPI继续温和上升，表明经济复苏步伐缓慢抑制通货膨胀。日本核心CPI表现疲弱，引发市场对日本经济再度陷入通缩漩涡的担忧，美元/日元可能上涨。,利多
日本实际GDP季率修正值,http://www.kxt.com/data/jpgdr1%3deci.html,日本内阁府,每季度公布一次，在当季结束后的第45天左右公布,"公布值>预期值=利好日元
",国内生产总值（GDP）是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
日本央行目标利率,http://www.kxt.com/data/bojdtr+index.html,日本央行,1年14次,"利率>预期=利好日元
",通过至制定隔夜无担保拆息利率，影响给金融机构提供的重贴现票据及延期贷款的利率；每次公布日期固定，但具体时间不定，央行开会一有结果便公布决议。,制定基准利率隔夜无担保拆息利,利率决议是汇率波动的最重要参数——交易商关注其它经济数据大多数是为了预测未来的利率变动。不过，市场通常已经对利率决议结果提前进行了押注。利率升，利好日元；反之，若降息或者实施宽松政策，利空日元。,利多
日本BSI大型制造业信心指数,http://www.kxt.com/data/jbsibclm+index.html,财务省&内阁府,每季度,"如果该指标比预期更高，则应认为日元强势/看涨，而如果该指标比预期更低，则应认为日元弱势/看跌。
",BSI大型制造业景气指数是衡量大型制造商总经营状况的指标。 该指数通过对日本的大型制造商进行调查并询问其经营状况来计算。 ,统计日本BSI大型制造业信心指数,它是主要依靠制造业的日本经济的一个关键指标。 指数大于0，表示景气改善，小于0则表示景气恶化。此指数可以有助于对大约一周后公布的日本银行短观大型制造业指数进行预测。 ,利空
日本求才求职比,http://www.kxt.com/data/jbtarate+index.html,日本总务省,每月,"公布值>预测值=利好日元
",失业率是指失业人口占劳动人口的比率(一定时期全部就业人口中有工作意愿而仍未有工作的劳动力数字)，旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。,统计衡量闲置中的劳动产能。,通过该指标可以判断一定时期内全部劳动人口的就业情况。一般情况下，失业率下降，代表整体经济健康发展，利于货币升值；失业率上升，便代表经济发展放缓衰退，不利于货币升值。,利空
日本家庭消费者信心指数,http://www.kxt.com/data/jcomshcf+index.html,日本内阁府,每月,"公布值>预期值=利好日元
",日本内阁府，对大约5000户家庭进行调查，调查内容包括：生活情况、收入情况、就业和采购大件商品意愿等，并制作成指数，以反映家庭消费者对未来经济的预期。,基于对家庭进行的调查，并制作成一项综合指标,消费者信心是消费者支出的领先性指标，而消费者支出又是整体经济活动的主要内容。家庭消费者信心指数上升，预示未来家庭支出将增加，利好日元。,利空
日本GDP平减指数年率终值,http://www.kxt.com/data/jgdfdefy+indexf.html,日本内阁府,每季度,"而如果指数比预期更低，则应认为日元弱势/看跌。
",GDP平减指数是衡量包含在GDP中的所有消费品和劳务价格的指标。,国内生产总值中所有商品和服务的年化变量,"因此 － GDP平减指数是衡量通货膨胀的关键指标。
如果指数比预期更高，则应认为美元强势/看涨（通常对抗通货膨胀的方法就是提高利率，这可以吸引外资）。",利空
日本GDP平减指数年率初值,http://www.kxt.com/data/jgdfdefy+indexp.html,日本内阁府,季报,"而如果指数比预期更低，则应认为日元弱势/看跌。
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,一定时期内经济总值的变化,指数也用来计算GDP的组成部分，如个人消费开支。它的计算基础比CPI更广泛，涉及全部商品和服务，除消费外，还包括生产资料和资本、进出口商品和劳务等。因此，这一指数能够更加准确地反映一般物价水平走向，是对价格水平最宏观测量。,利多
日本名义GDP季率终值,http://www.kxt.com/data/jgdoqoq+indexf.html,日本内阁府,每季度公布一次，在当季结束后的第45天左右公布,"公布值>预期值，利好日元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。共公布两次，一次为初值，一次为修正值。",统计日本GDP季率终值,GDP是衡量一国经济状况的最重要指标，央行将据此制定货币政策，投资者根据GDP数据对货币政策作出预测，进而影响日元短线走势。,利空
日本名义GDP季率初值,http://www.kxt.com/data/jgdoqoq+indexp.html,日本内阁府,每季度,"公布值>预期值，利好日元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。共公布两次，一次为初值，一次为修正值。",统计日本GDP季率初值,GDP是衡量一国经济状况的最重要指标，央行将据此制定货币政策，投资者根据GDP数据对货币政策作出预测，进而影响日元短线走势。,利多
日本实际GDP年化季率终值,http://www.kxt.com/data/jgdpagdp+indexf.html,日本内阁府,每季度公布一次，在当季结束后的第45天左右公布,"公布值>预测值=利好日元
",国内生产总值（GDP）是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利空
日本实际GDP季率终值,http://www.kxt.com/data/jgdpqgdp+indexf.html,日本内阁府,每季度公布一次，在当季结束后的第45天左右公布,"公布值>预测值=利好日元
",国内生产总值（GDP）是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利空
日本所有家庭支出年率,http://www.kxt.com/data/jhhslery+index.html,日本总务省,每月,"公布值>预测值=利好日元
",失业率是指失业人口占劳动人口的比率(一定时期全部就业人口中有工作意愿而仍未有工作的劳动力数字)，旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。,统计所有家庭支出年率,通过该指标可以判断一定时期内全部劳动人口的就业情况。一般情况下，失业率下降，代表整体经济健康发展，利于货币升值；失业率上升，便代表经济发展放缓衰退，不利于货币升值。,利空
日本M2货币供应年率,http://www.kxt.com/data/jmnsm2y+index.html,日本央行,每月,"如果该指标比预期更高，则应认为日元强势/看涨，而如果该指标比预期更低，则应认为日元弱势/看跌。
",日本央行 日本央行统计日本国内流通货币与银行存款总金额的变动，公布年率数据，比货币基础数据早一周公布。,日本央行统计日本国内流通货币与银行存款总金额的变动。,该数据与利率呈现正相关，在经济复苏期，货币供应增加意味着投资和支出上升，经济周期末期，货币供应增加意味着通胀上升。,利空
日本季调后银行贷款年率,http://www.kxt.com/data/jnblenda+index.html,日本央行Bank Of Japan,每月,"公布值>预期值=利好日元
",该数据包括企业贷款、消费者贷款和房屋贷款。,统计银行给消费者和企业贷款的未偿付贷款总额的变动,借款和支出呈正相关关系——在对其未来财务状况有信心并对开销货币感到舒适时，消费者和企业才会倾向寻求贷款。贷款增加，预示未来支出有望增加，对经济有利。,利空
日本企业破产年率,http://www.kxt.com/data/jnbtyoy+index.html,东京商工研究公司,每月,"公布值>预测值=利空日元
",是指企业在生产经营中由于经营管理不善，其负债达到或超过所占有的全部资产，不能清偿到期债务，资不抵债的企业行为。,统计企业破产数量，公布年率数据,企业破产数据能够反映该国金融信贷整体上处在紧缩或宽松的情况，以及经济的健康状况。,利空
日本设备利用指数月率,http://www.kxt.com/data/jncapmom+index.html, 日本经产省(METI ),月报，每月中旬公布上上月数据,"公布值>预测值=利好日元
",日本经济产业省公布，设备利用指数是评估日本生产设备的使用比率，也可以理解为日本目前正在运转的生产作用。,评估日本生产设备的使用比率，也可以理解为日本目前正在运转的生产作用。,如果设备利用指数下降，表示设备闲置过多，经济有衰退的现象，利空日元，反之则利好日元。,利多
日本同步指标终值,http://www.kxt.com/data/jnciccoi+indexf.html, 日本内阁府(Cabinet Office),月报，每月上旬公布上上月数据，中下旬公布修正值,"公布值>预期值=利好日元
",日本内阁府(Cabinet Office) 领先指标(leading indicators) 宏观经济波动的敏感性指标的一类。也叫领先指标或先行指标，是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,宏观经济波动分为繁荣、衰退、萧条、复苏四个阶段，它的变化是有一定规律性的，而且必然会通过一定的经济指标的变化反映出来。这些指标称为敏感性指标，通常按周期循环的时间性区分为三类，即领先指标、一致同步指标与滞后指标。,利空
日本同步指标初值,http://www.kxt.com/data/jnciccoi+indexp.html,"日本内阁府（Cabinet Office, Government of Japan）",每月,"公布值>预测值=利好日元
",日本内阁府(Cabinet Office) 领先指标(leading indicators) 宏观经济波动的敏感性指标的一类。也叫领先指标或先行指标，是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,宏观经济波动分为繁荣、衰退、萧条、复苏四个阶段，它的变化是有一定规律性的，而且必然会通过一定的经济指标的变化反映出来。这些指标称为敏感性指标，通常按周期循环的时间性区分为三类，即领先指标、一致同步指标与滞后指标。,利空
日本领先指标终值,http://www.kxt.com/data/jnciclei+indexf.html,日本内阁府,每月,"公布值>预期值=利好日元
",领先指标(leading indicators) 宏观经济波动的敏感性指标的一类。也叫领先指标或先行指标，是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,基于11个经济指标的衡量综合水平的指标,宏观经济波动分为繁荣、衰退、萧条、复苏四个阶段，它的变化是有一定规律性的，而且必然会通过一定的经济指标的变化反映出来。这些指标称为敏感性指标，通常按周期循环的时间性区分为三类，即领先指标、一致同步指标与滞后指标。,利空
日本领先指标初值,http://www.kxt.com/data/jnciclei+indexp.html,"Cabinet Office, Government of Japan",每月,"公布值>预测值=利好日元
",领先指标(leading indicators) 宏观经济波动的敏感性指标的一类。也叫领先指标或先行指标，是预测未来经济发展情况的领先指数由众多要素构成，涉及国民经济的诸多方面。,基于11个经济指标的衡量综合水平的指标,宏观经济波动分为繁荣、衰退、萧条、复苏四个阶段，它的变化是有一定规律性的，而且必然会通过一定的经济指标的变化反映出来。这些指标称为敏感性指标，通常按周期循环的时间性区分为三类，即领先指标、一致同步指标与滞后指标。,利空
日本全国核心CPI年率,http://www.kxt.com/data/jcpnefey+index.html,日本总务省,每月,"公布值>预测值=利好日元
",核心CPI（Core CPI），是指将受气候和季节因素影响较大的产品价格剔除之后的居民消费物价指数。,消费者购买的剔除新鲜食品的商品及服务价格变动，公布月率和年率数据,该数据通常会影响金融市场走势，而且其时效性及通胀意涵也广泛受到市场追踪。核心CPI继续温和上升，表明经济复苏步伐缓慢抑制通货膨胀。日本核心CPI表现疲弱，引发市场对日本经济再度陷入通缩漩涡的担忧，美元/日元可能上涨。,利空
日本东京CPI年率,http://www.kxt.com/data/jncpt+index.html,日本总务省统计局,每月,"如果通胀上行，或加大央行加息可能，利好日元，反之则利空日元。
",日本总务省统计局 核心CPI（Core CPI），是指将受气候和季节因素影响较大的产品价格剔除之后的居民消费物价指数。,"统计每月东京CPI年率,改数据通常会影响金融市场走势，而且其时效性及通胀意涵也广泛受到市场追踪。",该数据通常会影响金融市场走势，而且其时效性及通胀意涵也广泛受到市场追踪。核心CPI继续温和上升，表明经济复苏步伐缓慢抑制通货膨胀。日本核心CPI表现疲弱，引发市场对日本经济再度陷入通缩漩涡的担忧，美元/日元可能上涨。,利空
日本东京核心CPI年率,http://www.kxt.com/data/jcptefey+index.html,Statistics Bureau,每月,"公布值>预测值=利好日元
",依靠核心CPI来判断价格形势这种方法最早是由美国经济学家戈登（Robert J.Gordon）于1975年提出的，其背景是美国在1974年-1975年受到第一次石油危机的影响而出现了较大幅度的通货膨胀，而当时消费价格的上 涨主要是受食品价格和能源价格上涨的影响。当时有不少经济学家认为美国发生的食品价格和能源价格上涨，主要是受供给因素的影响，受需求拉动的影响较小，因 此提出了从CPI中扣除食品和能源价格的变化来衡量价格水平变化的方法。,"日本消费者购买的剔除新鲜食品的商品及服务价格变动
",该数据通常会影响金融市场走势，而且其时效性及通胀意涵也广泛受到市场追踪。核心CPI继续温和上升，表明经济复苏步伐缓慢抑制通货膨胀。日本核心CPI表现疲弱，引发市场对日本经济再度陷入通缩漩涡的担忧，美元/日元可能上涨。核心CPI下降，归因于能源价格下挫，及需求减弱导致企业采取低价策略，这是显示该国可能已陷入长时期通缩的一个令人不安的迹象,利空
日本营建订单年率,http://www.kxt.com/data/jncstoty+index.html,日本国土交通省,每月,"公布值>预测值=利好日元
",营建订单是日本月度建筑工程的订单数，涵盖私营和公共部门的新建工程和改善性建筑工程。,"统计每月营建订单年率,若数据好于预期，则利好日元，反之若数据不及预期，则利空日元。",数据能够体现日本房地产行业的蓬勃程度。,利空
日本外汇储备,http://www.kxt.com/data/jnfrtotl+index.html,Bank of Japan,每月,"公布值>预测值=利好日元
",指一国政府所持有的国际储备资产中的外汇部分，即一国政府保有的以外币表示的债权 。是一个国家货币当局持有并可以随时兑换外国货币的资产。,统计中央银行及其他政府机构所集中掌握的外汇资产规模,日本外汇储备是仅次于中国的世界第二大外汇储备国家。外汇储备是一个国家国际清偿力的重要组成部分，同时对于平衡国际收支、稳定汇率有重要的影响。,利空
日本季调后新屋开工年化,http://www.kxt.com/data/jnhsan+index.html,日本国土交通省,每月,"如果数据好于预期，则利好日元，反之若数据不及预期，则利空日元。
",日本国土交通省公布，新屋开工是衡量开始建造的新家或楼房数字变化的指标。,"统计每月季调后新屋开工年化数据,用来表明日本房地产的状况。",它说明了日本房地产市场的实力，有助于对整体经济进行分析，因为房地产市场是经济的一个关键因素。,利空
日本新屋开工年率,http://www.kxt.com/data/jnhsyoy+index.html,"Ministry of Land, Infrastructure and Transport",每月,"公布值>预测值=利好日元
",新屋开工（Housing Starts），是开始破土动工打新地基的住宅的数目，用以衡量私有住屋破土动工的数目。包括单用户和多用户（single-family和multi-family。, 启动建筑工作的新屋数量变动,是经济健康状况的一个领先性指标。新屋开工量增加，会带动相关行业的发展，如就业市场、原材料市场等。新屋开工上升，利好日元。,利空
日本工业产出月率终值,http://www.kxt.com/data/jnipmom+indexf.html,日本经产省(METI ),每月,"公布值>预测值=利好日元
",工业产出指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。修正值是指对通胀因素进行调整后的工业产出。,统计生产商、矿产商和公用事业企业经季调后的产出，公布月率和年率数据,日本工业产出公布两项数据，相隔15天左右，一个为工业产出初值，一个为工业产出修正值，两周没有太多关联。工业产出，作为衡量经济运行状况的领先指标，对就业和消费者支出产生影响。如果工业产出上升，对日元有利。,利多
日本工业产出月率初值,http://www.kxt.com/data/jnipmom+indexp.html,日本经济产业省(METI),每月,"公布值>预测值=利好日元
",工业生产(Industrial production index)是衡量制造业、矿业与公共事业的实质产出重要的经济指标，工作生产指数是反应一个国家经济周期变化的主要标志。,经通胀调整后制造商、矿商和公共事业单位生产总价值的变动，公布月率和年率数据,工作生产指数是反应一个国家经济周期变化的主要标志。该指标每隔15天有两种版本的数据公布——初值和修正值。初值公布公布时间更早，因此影响力更大。,利空
日本工业产出年率终值,http://www.kxt.com/data/jnipyoy+indexf.html,"Ministry of Economy, Trade and Industry",每月,"公布值>预测值=利好日元
",工业产出指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。修正值是指对通胀因素进行调整后的工业产出。,统计生产商、矿产商和公用事业企业经季调后的产出，公布月率和年率数据 ,日本工业产出公布两项数据，相隔15天左右，一个为工业产出初值，一个为工业产出修正值，两周没有太多关联。工业产出，作为衡量经济运行状况的领先指标，对就业和消费者支出产生影响。如果工业产出上升，对日元有利。,利多
日本工业产出年率初值,http://www.kxt.com/data/jnipyoy+indexp.html,"Ministry of Economy, Trade and Industry",每月,"公布值>预测值=利好日元
",日本经济产业省(METI) 工业产出指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。修正值是指对通胀因素进行调整后的工业产出。,经通胀调整后制造商、矿商和公共事业单位生产总价值的变动，公布月率和年率数据,工作生产指数是反应一个国家经济周期变化的主要标志。该指标每隔15天有两种版本的数据公布——初值和修正值。初值公布公布时间更早，因此影响力更大。,利空
日本劳动现金收入年率,http://www.kxt.com/data/jnlsuctl+index.html,"厚生劳动省(Ministry of Health, Labour and Welfare)",每月,"公布值>预测值=利好日元
",统计劳动者的收入变化,劳动者上班收入总额变动,与支出有关——消费者可支配收入越多，他们就越有可能增加支出。因此，根据收入数据的变化，可以判断出未来经济走向，进而影响短线汇率走势。,利空
日本基础货币年率,http://www.kxt.com/data/jnmbyoy+index.html,Bank Of Japan,每月,"公布值>预测值=利好日元
","基础货币，也称货币基数(Monetary Base)、强力货币、始初货币，因其具有使货币供应总量成倍放大或收缩的能力，又被称为高能货币(High-powered Money)。根据国际货币基金组织的定义,基础货币包括中央银行为广义货币和信贷扩张提供支持的各种负债，主要指银行持有的货币(库存现金)和银行外的货币(流通中的现金)，以及银行与非银行在货币当局的存款。",国内流通的货币量及存在日本央行中的现金账户存款额的总量变动,该指标与利率有正相关关系——若处在经济周期的早期阶段，货币供应的增加会引发额外的支出和投资；若处在经济周期的晚期阶段，货币供应的扩张将引发通胀。,利空
日本所有家庭支出月率,http://www.kxt.com/data/jpallm%3deci.html,Statistics Bureau,每月,"公布值>预测值=利好日元
",日本国内所有家庭支出的月度变化数据,统计日本国内所有家庭支出的月度变化数据,家庭支出变化，直接预示社会销售数据变化，预示经济增长态势,利多
日本核心机械订单月率,http://www.kxt.com/data/jnmochng+index.html,日本内阁府Japan Machine Tool Builders' Association ,每月,"公布值>预期值=利好日元
",统计私营部门对机器设备的订单变化，但不包括船舶和公用设备。,私营部门对机器设备的订单变化，但不包括船舶和公用设备,核心机械订单数据是工业产出的先行指标，可据此判断未来工业乃至整个经济的走向，进而帮助外汇投资者判断短线日元走势。,利多
